,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
doc_478,,,,,,X,,X,,
doc_479,,,,X,,,,,,
doc_480,,,,X,,,,,,
doc_481,,,,X,,X,,,,
doc_482,,,,,,X,,,,
doc_483,,,,X,,,,,,
doc_484,,,,X,,X,,X,,
doc_485,,,,,,,,X,,
doc_486,,,,,,X,,,,
doc_487,,,,X,,X,,X,,
doc_488,,,,,,X,,,,
doc_489,,,,X,,X,,,,
doc_490,,,,,,X,,,,
doc_491,,,,,,X,,,,
doc_492,,,,X,,X,,,,
doc_493,,,,,,X,,,,
doc_494,,,,X,,,,,,
doc_495,,,,X,,,,X,,
doc_496,,,,X,,,,X,,
doc_497,,,,X,,X,,,,
doc_498,,,,,,X,,,,
doc_499,,,,X,,X,,,,
doc_500,,,,X,,X,,,,
doc_501,,,,X,,X,,X,,
doc_502,,,,X,,X,,,,
doc_503,,,,X,,X,,,,
doc_504,,,,X,,X,,X,,
doc_505,,,,X,,X,,,X,
doc_506,,,,,,X,,,,
doc_507,,,,X,X,X,,,,
doc_508,,,,X,,X,,X,X,
doc_509,,,,,,X,,,,
doc_510,,,,X,,X,,X,,
doc_511,,,,,,X,,,,
doc_512,X,X,X,X,X,X,X,X,X,X
doc_513,,,,,,X,,,,
doc_514,,,,X,,X,,,,
doc_515,,,,X,,X,,,,
doc_516,,,,,,X,,X,,
doc_517,,,,,,X,,,,
doc_518,X,,,,,X,,X,,
doc_519,,,,X,,,,,,X
doc_520,,,,X,,,,,,
doc_521,,,,X,,X,,,,
doc_522,,,,X,,,,,,
doc_523,,,,X,,,,X,,
doc_524,,,,X,,,,,,
doc_525,,,,X,,,,,,
doc_526,,,,X,,,,X,,
doc_527,,,,X,,,,,,
doc_528,,,,X,,,,,,
doc_529,,,,X,,,,,,
doc_530,,,,X,,,,,,
doc_531,,,,X,,,,,,
doc_532,,,,X,,,,,,
doc_533,X,,,X,,,,,,
doc_534,,,,X,,,,,,
doc_535,,,,X,,,,X,,
doc_536,,,,,,X,,,,
doc_537,,,,X,,,,,,
doc_538,,,,X,X,,,,,
doc_539,,,,X,,X,,,,
doc_540,,,,X,,X,,,,
doc_541,,,,X,,X,,,,
doc_542,,,,,,,,X,,
doc_543,,,,X,,X,,X,,
doc_544,,,,,,X,,,,X
doc_545,,,,,,,,X,,
doc_546,,,,,,X,,,,
doc_547,,,,X,,,,,,
doc_548,,,,,,X,,,,
doc_549,,,,,,X,,X,,
doc_550,,,,,,X,,,,
doc_551,X,X,X,X,X,X,X,X,X,X
doc_552,,,,X,,,,,,
doc_553,,,,,,,,X,,
doc_554,,,,,,,,X,,
doc_555,,,,,,X,,X,,
doc_556,,,,,,X,,,,
doc_557,X,,,,,,,,,
doc_558,,,,,,X,,,,
doc_559,,,,X,,,,,,
doc_560,,,,X,,,,,,
doc_561,,,,X,,,,,,
doc_562,,,,X,,,,,,
doc_563,,,,X,,,,,,
doc_564,,,,X,,,,,,
doc_565,,,,X,,X,,,,
doc_566,,,,X,,,,,,
doc_567,,,,X,,X,,,,
doc_568,,,,X,,,,,,
doc_569,,,,X,,,,,,
doc_570,,,,X,,,,,,
doc_571,,,,X,,,,,,
doc_572,,,,X,,,,,,
doc_573,,,,X,,,,,,
doc_574,,,,X,,,,,,
doc_575,,,,X,,,,,,
